source_name,rank,points,reason,is_wc2026_qualifier
Slovenia,58,1446.44,name not in WIKI_NAME_TO_FIFA3,False
Burkina Faso,62,1412.49,name not in WIKI_NAME_TO_FIFA3,False
Albania,64,1388.06,name not in WIKI_NAME_TO_FIFA3,False
Honduras,66,1380.27,name not in WIKI_NAME_TO_FIFA3,False
North Macedonia,67,1372.04,name not in WIKI_NAME_TO_FIFA3,False
United Arab Emirates,68,1370.47,name not in WIKI_NAME_TO_FIFA3,False
Northern Ireland,70,1362.16,name not in WIKI_NAME_TO_FIFA3,False
Georgia,72,1350.18,name not in WIKI_NAME_TO_FIFA3,False
Finland,73,1346.41,name not in WIKI_NAME_TO_FIFA3,False
Iceland,75,1345.07,name not in WIKI_NAME_TO_FIFA3,False
Bolivia,76,1329.42,name not in WIKI_NAME_TO_FIFA3,False
Israel,77,1328.33,name not in WIKI_NAME_TO_FIFA3,False
Kosovo,78,1318.83,name not in WIKI_NAME_TO_FIFA3,False
Oman,79,1313.46,name not in WIKI_NAME_TO_FIFA3,False
Guinea,80,1300.01,name not in WIKI_NAME_TO_FIFA3,False
Montenegro,81,1295.52,name not in WIKI_NAME_TO_FIFA3,False
Syria,84,1288.56,name not in WIKI_NAME_TO_FIFA3,False
Bulgaria,86,1278.9,name not in WIKI_NAME_TO_FIFA3,False
Gabon,87,1272.51,name not in WIKI_NAME_TO_FIFA3,False
Uganda,88,1264.09,name not in WIKI_NAME_TO_FIFA3,False
Angola,89,1263.1,name not in WIKI_NAME_TO_FIFA3,False
Benin,90,1258.98,name not in WIKI_NAME_TO_FIFA3,False
Bahrain,91,1258.53,name not in WIKI_NAME_TO_FIFA3,False
Zambia,92,1255.82,name not in WIKI_NAME_TO_FIFA3,False
Thailand,93,1252.14,name not in WIKI_NAME_TO_FIFA3,False
China PR,94,1251.6,name not in WIKI_NAME_TO_FIFA3,False
Palestine,95,1244.73,name not in WIKI_NAME_TO_FIFA3,False
Guatemala,96,1243.47,name not in WIKI_NAME_TO_FIFA3,False
Belarus,97,1235.82,name not in WIKI_NAME_TO_FIFA3,False
Luxembourg,98,1227.77,name not in WIKI_NAME_TO_FIFA3,False
Vietnam,99,1225.68,name not in WIKI_NAME_TO_FIFA3,False
El Salvador,100,1225.26,name not in WIKI_NAME_TO_FIFA3,False
Mozambique,101,1224.31,name not in WIKI_NAME_TO_FIFA3,False
Trinidad and Tobago,102,1222.94,name not in WIKI_NAME_TO_FIFA3,False
Tajikistan,103,1221.78,name not in WIKI_NAME_TO_FIFA3,False
Madagascar,104,1203.76,name not in WIKI_NAME_TO_FIFA3,False
Equatorial Guinea,105,1195.2,name not in WIKI_NAME_TO_FIFA3,False
Armenia,106,1191.42,name not in WIKI_NAME_TO_FIFA3,False
Kyrgyz Republic,107,1191.14,name not in WIKI_NAME_TO_FIFA3,False
Lebanon,108,1187.96,name not in WIKI_NAME_TO_FIFA3,False
Comoros,109,1187.91,name not in WIKI_NAME_TO_FIFA3,False
Kazakhstan,110,1182.96,name not in WIKI_NAME_TO_FIFA3,False
Kenya,111,1182.23,name not in WIKI_NAME_TO_FIFA3,False
Libya,112,1182.08,name not in WIKI_NAME_TO_FIFA3,False
Tanzania,113,1180.27,name not in WIKI_NAME_TO_FIFA3,False
Niger,114,1179.66,name not in WIKI_NAME_TO_FIFA3,False
Mauritania,115,1170.72,name not in WIKI_NAME_TO_FIFA3,False
The Gambia,116,1160.38,name not in WIKI_NAME_TO_FIFA3,False
Sudan,117,1157.22,name not in WIKI_NAME_TO_FIFA3,False
Korea DPR,118,1151.05,name not in WIKI_NAME_TO_FIFA3,False
Sierra Leone,119,1148.98,name not in WIKI_NAME_TO_FIFA3,False
Namibia,120,1148.84,name not in WIKI_NAME_TO_FIFA3,False
Togo,121,1147.31,name not in WIKI_NAME_TO_FIFA3,False
Indonesia,122,1144.88,name not in WIKI_NAME_TO_FIFA3,False
Faroe Islands,123,1137.14,name not in WIKI_NAME_TO_FIFA3,False
Azerbaijan,124,1136.67,name not in WIKI_NAME_TO_FIFA3,False
Suriname,125,1132.43,name not in WIKI_NAME_TO_FIFA3,False
Cyprus,126,1128.33,name not in WIKI_NAME_TO_FIFA3,False
Malawi,127,1128.03,name not in WIKI_NAME_TO_FIFA3,False
Rwanda,128,1126.62,name not in WIKI_NAME_TO_FIFA3,False
Estonia,129,1121.1,name not in WIKI_NAME_TO_FIFA3,False
Zimbabwe,130,1118.12,name not in WIKI_NAME_TO_FIFA3,False
Nicaragua,131,1115.13,name not in WIKI_NAME_TO_FIFA3,False
Guinea-Bissau,132,1108.38,name not in WIKI_NAME_TO_FIFA3,False
Congo,133,1105.96,name not in WIKI_NAME_TO_FIFA3,False
Kuwait,134,1105.1,name not in WIKI_NAME_TO_FIFA3,False
Philippines,135,1094.1,name not in WIKI_NAME_TO_FIFA3,False
India,136,1091.03,name not in WIKI_NAME_TO_FIFA3,False
Latvia,137,1090.57,name not in WIKI_NAME_TO_FIFA3,False
Malaysia,138,1086.22,name not in WIKI_NAME_TO_FIFA3,False
Central African Republic,139,1083.57,name not in WIKI_NAME_TO_FIFA3,False
Liberia,140,1079.02,name not in WIKI_NAME_TO_FIFA3,False
Turkmenistan,141,1078.65,name not in WIKI_NAME_TO_FIFA3,False
Burundi,142,1078.01,name not in WIKI_NAME_TO_FIFA3,False
Dominican Republic,143,1077.95,name not in WIKI_NAME_TO_FIFA3,False
Ethiopia,144,1071.55,name not in WIKI_NAME_TO_FIFA3,False
Lesotho,145,1067.13,name not in WIKI_NAME_TO_FIFA3,False
Botswana,146,1063.63,name not in WIKI_NAME_TO_FIFA3,False
Singapore,147,1059.53,name not in WIKI_NAME_TO_FIFA3,False
