nation,player,position,club,league,nat_matches,nat_minutes,nat_xg_per_90,nat_shots_per_90,nat_key_passes_per_90,nat_prog_passes_per_90,nat_prog_carries_per_90,nat_pressures_per_90,club_minutes_2425,club_xg_per_90,club_xa_per_90,blended_xg90,found_in_understat,low_confidence
Albania,Mirlind Daku,F,Rubin Kazan,RFPL,1,14,0.8533,6.43,32.14,6.43,6.43,19.29,2320,0.461,0.1354,0.3443,True,True
Albania,Kristjan Asllani,M S,Inter,Serie_A,3,288,0.1964,2.5,60.31,20.62,3.12,11.56,960,0.2137,0.1489,0.2068,True,False
Albania,Klaus Gjasula,,,,1,24,0.6639,7.5,33.75,18.75,0.0,33.75,0,,,0.1735,False,True
Albania,Arbër Hoxha,,,,3,63,0.1324,2.86,28.57,2.86,15.71,24.29,0,,,0.148,False,True
Albania,Ernest Muçi,,,,2,14,0.0,0.0,51.43,6.43,0.0,12.86,0,,,0.1459,False,True
Albania,Rey Manaj,,,,3,162,0.1198,1.11,14.44,2.78,0.56,21.11,0,,,0.1426,False,True
Albania,Qazim Laçi,,,,3,167,0.0823,0.54,28.02,8.62,3.23,19.94,0,,,0.133,False,True
Albania,Taulant Sulejmanov,,,,2,102,0.0302,0.88,22.94,5.29,2.65,19.41,0,,,0.1297,False,True
Albania,Iván Balliu Campeny,,,,1,86,0.0,0.0,43.95,17.79,1.05,13.6,0,,,0.128,False,True
Albania,Medon Berisha,M S,Lecce,Serie_A,1,24,0.1193,3.75,33.75,11.25,3.75,22.5,697,0.0858,0.0995,0.1109,True,True
Albania,Armando Broja,F S,Everton,EPL,2,109,0.189,1.65,14.04,4.95,3.3,9.08,314,0.0299,0.0501,0.0807,True,True
Albania,Berat Djimsiti,D S,Atalanta,Serie_A,3,281,0.0334,0.64,45.8,16.33,2.24,6.09,2653,0.1043,0.0587,0.0759,True,False
Albania,Nedim Bajrami,,,,3,250,0.0707,1.08,28.44,6.84,4.32,11.52,0,,,0.0707,False,False
Albania,Elseid Hysaj,D S,Lazio,Serie_A,2,185,0.0476,0.97,28.22,10.7,1.46,12.65,413,0.0199,0.3267,0.031,True,False
Albania,Jasir Asani,,,,3,212,0.0255,1.7,16.56,5.52,2.97,22.92,0,,,0.0255,False,False
Albania,Ylber Ramadani,M S,Lecce,Serie_A,3,274,0.0,0.0,35.47,9.2,2.3,17.08,1831,0.0264,0.0438,0.0158,True,False
Albania,Mario Mitaj,,,,3,286,0.0097,0.31,46.57,17.62,1.89,14.48,0,,,0.0097,False,False
Albania,Arlind Afrim Ajeti,,,,3,274,0.0,0.0,35.15,12.48,0.99,5.26,0,,,0.0,False,False
Albania,Thomas Strakosha,,,,3,284,0.0,0.0,28.2,22.18,2.54,0.0,0,,,0.0,False,False
Argentina,Lionel Andrés Messi Cuccittini,,,,12,1189,0.7879,3.63,41.93,13.62,6.59,9.61,0,,,0.7879,False,False
Argentina,Lautaro Javier Martínez,F,Inter,Serie_A,12,513,1.0165,4.56,17.89,1.93,1.05,10.53,2605,0.5173,0.18,0.717,True,False
Argentina,Gonzalo Ariel Montiel,,,,10,412,0.518,0.87,51.77,11.8,4.81,8.96,0,,,0.518,False,False
Argentina,Julián Álvarez,F M S,Atletico Madrid,La_liga,12,854,0.4481,2.21,19.71,2.32,2.42,23.82,2543,0.5011,0.2286,0.4799,True,False
Argentina,Ángel Martín Correa,F S,Atletico Madrid,La_liga,1,9,0.0,0.0,40.0,10.0,0.0,20.0,721,0.6736,0.2601,0.4631,True,True
Argentina,Paulo Bruno Exequiel Dybala,F M S,Roma,Serie_A,2,23,3.0659,3.91,50.87,11.74,3.91,31.3,1431,0.4464,0.3916,0.3791,True,True
Argentina,Leandro Daniel Paredes,M S,Roma,Serie_A,8,412,0.5286,1.53,82.79,27.31,5.46,14.2,1370,0.1417,0.1092,0.2965,True,False
Argentina,Giovani Lo Celso,M S,Real Betis,La_liga,5,154,0.3654,1.75,53.18,14.61,3.51,18.12,1437,0.296,0.2926,0.2579,True,True
Argentina,Nicolás Iván González,D F M S,Juventus,Serie_A,5,267,0.2231,1.69,29.66,5.73,3.71,9.78,1789,0.2208,0.0666,0.2217,True,False
Argentina,Lucas Martínez Quarta,D S,Fiorentina,Serie_A,1,11,0.0,0.0,49.09,24.55,8.18,0.0,341,0.2399,0.003,0.2026,True,True
Argentina,Thiago Ezequiel Almada,M S,Lyon,Ligue_1,1,13,0.0,0.0,90.0,13.85,6.92,13.85,934,0.1917,0.232,0.1735,True,True
Argentina,Enzo Fernandez,M S,Chelsea,EPL,12,955,0.1361,1.41,65.21,18.94,3.96,15.64,2941,0.1877,0.2368,0.1671,True,False
Argentina,Nicolás Hernán Otamendi,,,,12,919,0.1523,0.39,64.93,23.7,4.99,6.27,0,,,0.1523,False,False
Argentina,Alexis Mac Allister,M S,Liverpool,EPL,11,1037,0.1658,1.22,42.35,8.68,3.82,13.45,2621,0.1225,0.168,0.1398,True,False
Argentina,Juan Marcos Foyth,D S,Villarreal,La_liga,1,7,0.0,0.0,51.43,25.71,25.71,25.71,1515,0.1344,0.0236,0.1398,True,True
Argentina,Nicolás Alejandro Tagliafico,D S,Lyon,Ligue_1,12,852,0.112,0.63,47.01,14.47,2.75,10.46,1918,0.1391,0.0316,0.1283,True,False
Argentina,Germán Alejandro Pezzella,,,,4,145,0.0414,1.24,70.14,25.45,1.24,3.72,0,,,0.1256,False,True
Argentina,Ángel Fabián Di María Hernández,D S,Rayo Vallecano,La_liga,10,656,0.1489,1.78,46.37,12.35,8.09,12.35,1026,0.0999,0.0044,0.1195,True,False
Argentina,Exequiel Alejandro Palacios,M S,Bayer Leverkusen,Bundesliga,5,170,0.0247,0.53,51.88,13.24,2.12,21.18,1134,0.1045,0.1895,0.11,True,True
Argentina,Alejandro Darío Gómez,D M S,AC Milan,Serie_A,2,108,0.0192,1.67,48.33,8.33,4.17,9.17,1285,0.0893,0.1183,0.1043,True,True
Argentina,Lisandro Martínez,D,Manchester United,EPL,10,791,0.1034,0.68,54.61,19.57,4.21,6.26,1762,0.0862,0.0693,0.0931,True,False
Argentina,Valentin Carboni,D M S,Marseille,Ligue_1,1,16,0.0,0.0,28.12,5.62,5.62,33.75,1565,0.0555,0.0965,0.0914,True,True
Argentina,Cristian Gabriel Romero,D,Tottenham,EPL,12,1067,0.0072,0.08,61.07,22.69,5.23,9.11,1426,0.1202,0.0395,0.075,True,False
Argentina,Alejandro Garnacho Ferreyra,GK,Real Valladolid,La_liga,1,65,0.1699,2.77,30.46,1.38,5.54,11.08,540,0.0,0.0,0.0609,True,True
Argentina,Nahuel Molina Lucero,,,,12,937,0.0607,0.29,53.21,14.6,2.69,10.47,0,,,0.0607,False,False
Argentina,Guido Rodríguez,M S,West Ham,EPL,2,71,0.0,0.0,100.14,40.56,3.8,11.41,1179,0.0124,0.0167,0.06,True,True
Argentina,Rodrigo Javier De Paul,M S,Atletico Madrid,La_liga,12,1122,0.0541,0.88,68.26,19.17,6.1,16.36,2137,0.0618,0.2498,0.0587,True,False
Argentina,Marcos Javier Acuña,,,,8,502,0.018,0.54,50.2,12.55,5.56,10.58,0,,,0.018,False,False
Argentina,Damián Emiliano Martínez,GK,Aston Villa,EPL,13,1316,0.0,0.0,27.7,17.03,1.23,0.0,3206,0.0,0.0079,0.0,True,False
Australia,Garang Kuol,,,,2,43,0.4896,2.09,8.37,4.19,2.09,16.74,0,,,0.1769,False,True
Australia,Bailey Wright,,,,1,18,0.0,0.0,20.0,10.0,0.0,5.0,0,,,0.1448,False,True
