date,match_id,home,away,outcome,p_model,p_market,edge_pp,edge_rel,fair_odds,market_odds
2026-06-11,WC26-MEX-RSA-2026-06-11,Mexico,South Africa,home,0.807,0.6159,19.11,0.31,-418,-160
2026-06-11,WC26-MEX-RSA-2026-06-11,Mexico,South Africa,draw,0.1378,0.2259,-8.81,-0.39,+626,+343
2026-06-11,WC26-MEX-RSA-2026-06-11,Mexico,South Africa,away,0.0552,0.1581,-10.29,-0.651,+1712,+533
2026-06-11,WC26-KOR-CZE-2026-06-11,South Korea,Czech Republic,home,0.4464,0.346,10.04,0.29,+124,+189
2026-06-11,WC26-KOR-CZE-2026-06-11,South Korea,Czech Republic,draw,0.2825,0.3014,-1.89,-0.063,+254,+232
2026-06-11,WC26-KOR-CZE-2026-06-11,South Korea,Czech Republic,away,0.2711,0.3526,-8.15,-0.231,+269,+184
2026-06-12,WC26-CAN-BIH-2026-06-12,Canada,Bosnia and Herzegovina,home,0.6993,0.5301,16.92,0.319,-233,-113
2026-06-12,WC26-CAN-BIH-2026-06-12,Canada,Bosnia and Herzegovina,draw,0.1967,0.2579,-6.12,-0.237,+408,+288
2026-06-12,WC26-CAN-BIH-2026-06-12,Canada,Bosnia and Herzegovina,away,0.104,0.212,-10.8,-0.509,+862,+372
2026-06-12,WC26-USA-PAR-2026-06-12,United States,Paraguay,home,0.3258,0.4854,-15.96,-0.329,+207,+106
2026-06-12,WC26-USA-PAR-2026-06-12,United States,Paraguay,draw,0.2895,0.2747,1.48,0.054,+245,+264
2026-06-12,WC26-USA-PAR-2026-06-12,United States,Paraguay,away,0.3846,0.2399,14.47,0.603,+160,+317
2026-06-13,WC26-QAT-SUI-2026-06-13,Qatar,Switzerland,home,0.0622,0.0796,-1.74,-0.219,+1508,+1156
2026-06-13,WC26-QAT-SUI-2026-06-13,Qatar,Switzerland,draw,0.148,0.147,0.1,0.007,+576,+580
2026-06-13,WC26-QAT-SUI-2026-06-13,Qatar,Switzerland,away,0.7898,0.7734,1.64,0.021,-376,-341
2026-06-13,WC26-BRA-MAR-2026-06-13,Brazil,Morocco,home,0.4324,0.5932,-16.08,-0.271,+131,-146
2026-06-13,WC26-BRA-MAR-2026-06-13,Brazil,Morocco,draw,0.2846,0.2412,4.34,0.18,+251,+315
2026-06-13,WC26-BRA-MAR-2026-06-13,Brazil,Morocco,away,0.2829,0.1657,11.72,0.707,+253,+504
