match_id,market_type,outcome,p_elo,p_poisson,p_form,p_ensemble_e3,p_ensemble_v2,p_kalshi,v_kalshi,p_polymarket,v_polymarket,golden_zone,edge,opportunity
GOLDENBOOT-WC2026,top_scorer,Alvaro Morata,,,,,,0.04,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Bruno Fernandes,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Bukayo Saka,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Christian Pulisic,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Cody Gakpo,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Cristiano Ronaldo,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Darwin Nunez,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Erling Haaland,,,,,,0.07,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Ferran Torres,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Harry Kane,,,,,,0.12,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Jonathan David,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Julian Alvarez,,,,,,0.04,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Kylian Mbappe,,,,,,0.17,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Lamine Yamal,,,,,,0.05,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Lautaro Martinez,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Lionel Messi,,,,,,0.04,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Luis Diaz,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Matheus Cunha,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Memphis Depay,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Mikel Oyarzabal,,,,,,0.09,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Mohamed Salah,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Nick Woltemade,,,,,,0.02,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Ousmane Dembele,,,,,,0.05,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Phil Foden,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Randal Kolo Muani,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Raphinha,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Richarlison,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Rodrygo,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Romelu Lukaku,,,,,,0.03,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Scott McTominay,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Son Heung-min,,,,,,0.01,0,,0,,,
GOLDENBOOT-WC2026,top_scorer,Vinicius Junior,,,,,,0.03,0,,0,,,
GROUP-A-WC2026,group_winner,CZE,,,,,,0.22,0,0.235,101,,,
GROUP-A-WC2026,group_winner,DEN,,,,,,0.01,0,,0,,,
GROUP-A-WC2026,group_winner,IRL,,,,,,0.08,0,,0,,,
GROUP-A-WC2026,group_winner,KOR,,,,,,0.24,0,0.195,181,,,
GROUP-A-WC2026,group_winner,MEX,,,,,,0.5,0,0.505,93,,,
GROUP-A-WC2026,group_winner,MKD,,,,,,0.01,0,,0,,,
GROUP-A-WC2026,group_winner,RSA,,,,,,0.06,0,0.047,0,,,
GROUP-B-WC2026,group_winner,BIH,,,,,,0.17,0,0.205,282,,,
GROUP-B-WC2026,group_winner,CAN,,,,,,0.27,0,0.245,335,,,
GROUP-B-WC2026,group_winner,ITA,,,,,,0.01,0,,0,,,
GROUP-B-WC2026,group_winner,NIR,,,,,,0.01,0,,0,,,
GROUP-B-WC2026,group_winner,QAT,,,,,,0.02,0,0.02,399,,,
GROUP-B-WC2026,group_winner,SUI,,,,,,0.52,0,0.555,473,,,
GROUP-B-WC2026,group_winner,WAL,,,,,,0.01,0,,0,,,
GROUP-C-WC2026,group_winner,BRA,,,,,,0.75,0,0.765,6,,,
GROUP-C-WC2026,group_winner,HAI,,,,,,0.01,0,0.003,0,,,
GROUP-C-WC2026,group_winner,MAR,,,,,,0.24,0,0.175,545,,,
GROUP-C-WC2026,group_winner,SCO,,,,,,0.06,0,0.051,99,,,
GROUP-D-WC2026,group_winner,AUS,,,,,,0.09,0,0.073,179,,,
GROUP-D-WC2026,group_winner,Kosovo,,,,,,0.01,0,,0,,,
GROUP-D-WC2026,group_winner,PAR,,,,,,0.16,0,0.185,66,,,
GROUP-D-WC2026,group_winner,Romania,,,,,,0.02,0,,0,,,
GROUP-D-WC2026,group_winner,Slovakia,,,,,,0.01,0,,0,,,
GROUP-D-WC2026,group_winner,Turkiye,,,,,,0.36,0,,0,,,
