date,match,score,actual,is_ko,tier,elo_H,elo_D,elo_A,elo_pred,form_H,form_D,form_A,form_pred,xgp_H,xgp_D,xgp_A,xgp_pred,px_H,px_D,px_A,px_pred,v2_H,v2_D,v2_A,v2_pred,v2_correct,v3_H,v3_D,v3_A,v3_pred,v3_correct,v3_confidence,e3_H,e3_D,e3_A,e3_pred
2022-11-20,Qatar vs Ecuador,0-2,A,False,split,0.182,0.561,0.256,D,0.439,0.183,0.378,H,0.207,0.278,0.515,A,0.34,0.369,0.291,D,0.276,0.341,0.383,A,✓,0.292,0.348,0.36,A,✓,0.36,0.221,0.355,0.424,A
2022-11-21,Senegal vs Netherlands,0-2,A,False,golden_zone,0.061,0.455,0.484,A,0.374,0.165,0.462,A,0.229,0.286,0.484,A,0.304,0.38,0.316,D,0.221,0.302,0.477,A,✓,0.242,0.321,0.437,A,✓,0.437,0.195,0.312,0.492,A
2022-11-21,England vs Iran,6-2,H,False,two_agree,0.253,0.562,0.185,D,0.388,0.176,0.435,A,0.198,0.259,0.543,A,0.396,0.259,0.345,H,0.28,0.333,0.388,A,✗,0.309,0.314,0.377,A,✗,0.377,0.301,0.384,0.315,D
2022-11-21,United States vs Wales,1-1,D,False,golden_zone,0.495,0.447,0.058,H,0.447,0.197,0.355,H,0.662,0.237,0.102,H,0.292,0.37,0.338,D,0.535,0.294,0.172,H,✗,0.474,0.313,0.213,H,✗,0.474,0.565,0.302,0.132,H
2022-11-22,Argentina vs Saudi Arabia,1-2,A,False,golden_zone,0.706,0.28,0.015,H,0.5,0.17,0.33,H,0.473,0.384,0.143,H,0.474,0.296,0.23,H,0.56,0.278,0.162,H,✗,0.538,0.283,0.179,H,✗,0.538,0.609,0.279,0.111,H
2022-11-22,Mexico vs Poland,0-0,D,False,two_agree,0.321,0.543,0.136,D,0.405,0.19,0.405,H,0.586,0.257,0.156,H,0.13,0.211,0.659,A,0.437,0.33,0.232,H,✗,0.36,0.3,0.339,H,✗,0.36,0.469,0.339,0.192,H
2022-11-22,Denmark vs Tunisia,0-0,D,False,two_agree,0.333,0.539,0.128,D,0.404,0.169,0.427,A,0.237,0.29,0.473,A,0.507,0.244,0.249,H,0.325,0.332,0.343,A,✗,0.37,0.31,0.319,H,✗,0.37,0.332,0.379,0.288,D
2022-11-22,France vs Australia,4-1,H,False,two_agree,0.347,0.533,0.12,D,0.407,0.174,0.419,A,0.273,0.325,0.402,A,0.51,0.289,0.201,H,0.342,0.344,0.314,D,✗,0.384,0.33,0.285,H,✓,0.384,0.341,0.366,0.293,D
2022-11-23,Germany vs Japan,1-2,A,False,split,0.245,0.563,0.192,D,0.412,0.176,0.412,H,0.174,0.257,0.569,A,0.478,0.305,0.217,H,0.277,0.332,0.391,A,✓,0.327,0.325,0.348,A,✓,0.348,0.246,0.342,0.412,A
2022-11-23,Spain vs Costa Rica,7-0,H,False,two_agree,0.669,0.312,0.02,H,0.414,0.152,0.434,A,0.307,0.266,0.427,A,0.502,0.223,0.274,H,0.463,0.243,0.294,H,✓,0.473,0.238,0.289,H,✓,0.473,0.479,0.303,0.217,H
2022-11-23,Morocco vs Croatia,0-0,D,False,split,0.331,0.539,0.129,D,0.404,0.16,0.436,A,0.582,0.212,0.207,H,0.165,0.218,0.617,A,0.439,0.303,0.257,H,✗,0.371,0.282,0.347,H,✗,0.371,0.412,0.348,0.24,H
2022-11-23,Belgium vs Canada,1-0,H,False,two_agree,0.339,0.536,0.125,D,0.402,0.183,0.415,A,0.171,0.241,0.589,A,0.659,0.211,0.13,H,0.304,0.32,0.376,A,✗,0.393,0.293,0.315,H,✓,0.393,0.295,0.34,0.365,A
2022-11-24,Portugal vs Ghana,3-2,H,False,golden_zone,0.664,0.316,0.02,H,0.446,0.181,0.373,H,0.592,0.295,0.113,H,0.659,0.211,0.13,H,0.567,0.264,0.169,H,✓,0.59,0.251,0.159,H,✓,0.59,0.598,0.273,0.129,H
2022-11-24,Uruguay vs South Korea,0-0,D,False,two_agree,0.254,0.562,0.184,D,0.43,0.161,0.409,H,0.401,0.33,0.269,H,0.659,0.211,0.13,H,0.362,0.351,0.287,H,✗,0.436,0.316,0.248,H,✗,0.436,0.385,0.376,0.238,H
2022-11-24,Switzerland vs Cameroon,1-0,H,False,split,0.384,0.515,0.101,D,0.403,0.195,0.403,H,0.262,0.248,0.489,A,0.175,0.219,0.607,A,0.35,0.319,0.331,H,✓,0.306,0.294,0.4,A,✗,0.4,0.379,0.363,0.257,H
2022-11-24,Brazil vs Serbia,2-0,H,False,golden_zone,0.681,0.301,0.018,H,0.444,0.152,0.404,H,0.816,0.135,0.049,H,0.504,0.292,0.204,H,0.647,0.196,0.157,H,✓,0.611,0.22,0.169,H,✓,0.611,0.719,0.181,0.101,H
2022-11-25,Qatar vs Senegal,1-3,A,False,two_agree,0.115,0.529,0.356,D,0.424,0.176,0.4,H,0.353,0.315,0.332,H,0.308,0.383,0.308,D,0.297,0.34,0.363,A,✓,0.3,0.351,0.349,D,✗,0.351,0.284,0.36,0.356,D
2022-11-25,Netherlands vs Ecuador,1-1,D,False,two_agree,0.587,0.379,0.034,H,0.477,0.17,0.352,H,0.314,0.292,0.394,A,0.543,0.273,0.184,H,0.459,0.28,0.26,H,✗,0.48,0.278,0.241,H,✗,0.48,0.417,0.298,0.286,H
2022-11-25,Wales vs Iran,0-2,A,False,golden_zone,0.061,0.453,0.486,A,0.342,0.19,0.468,A,0.135,0.288,0.577,A,0.214,0.273,0.513,A,0.179,0.311,0.51,A,✓,0.188,0.301,0.511,A,✓,0.511,0.151,0.333,0.516,A
2022-11-25,England vs United States,0-0,D,False,two_agree,0.245,0.563,0.192,D,0.402,0.183,0.415,A,0.148,0.217,0.634,A,0.522,0.283,0.195,H,0.265,0.321,0.414,A,✗,0.329,0.312,0.359,A,✗,0.359,0.268,0.371,0.361,D
2022-11-26,Poland vs Saudi Arabia,2-0,H,False,split,0.249,0.562,0.189,D,0.421,0.197,0.382,H,0.166,0.327,0.507,A,0.49,0.299,0.211,H,0.279,0.362,0.359,D,✗,0.332,0.346,0.322,D,✗,0.346,0.266,0.388,0.345,D
2022-11-26,Argentina vs Mexico,2-0,H,False,golden_zone,0.574,0.389,0.037,H,0.484,0.165,0.352,H,0.521,0.32,0.159,H,0.659,0.211,0.13,H,0.526,0.291,0.182,H,✓,0.559,0.271,0.169,H,✓,0.559,0.542,0.313,0.144,H
2022-11-26,Tunisia vs Australia,0-1,A,False,split,0.199,0.564,0.237,D,0.427,0.169,0.404,H,0.276,0.36,0.365,A,0.308,0.383,0.308,D,0.301,0.364,0.335,D,✗,0.303,0.369,0.329,D,✗,0.369,0.289,0.397,0.314,D
2022-11-26,France vs Denmark,2-1,H,False,split,0.249,0.562,0.188,D,0.407,0.174,0.419,A,0.478,0.267,0.256,H,0.609,0.219,0.172,H,0.378,0.334,0.288,H,✓,0.436,0.306,0.259,H,✓,0.436,0.333,0.369,0.298,D
2022-11-27,Croatia vs Canada,4-1,H,False,split,0.129,0.539,0.331,D,0.456,0.167,0.378,H,0.089,0.137,0.774,A,0.659,0.211,0.13,H,0.225,0.281,0.494,A,✗,0.333,0.263,0.403,A,✗,0.403,0.202,0.335,0.463,A
2022-11-27,Japan vs Costa Rica,0-1,A,False,two_agree,0.49,0.45,0.059,H,0.376,0.161,0.462,A,0.447,0.346,0.207,H,0.226,0.313,0.461,A,0.438,0.319,0.243,H,✗,0.385,0.318,0.297,H,✗,0.385,0.428,0.363,0.209,H
2022-11-27,Spain vs Germany,1-1,D,False,two_agree,0.363,0.525,0.112,D,0.451,0.165,0.385,H,0.393,0.223,0.385,H,0.282,0.266,0.452,A,0.402,0.304,0.294,H,✗,0.372,0.295,0.333,H,✗,0.372,0.453,0.327,0.22,H
2022-11-27,Belgium vs Morocco,0-2,A,False,two_agree,0.339,0.536,0.125,D,0.384,0.174,0.442,A,0.303,0.289,0.409,A,0.659,0.211,0.13,H,0.342,0.333,0.325,H,✗,0.421,0.303,0.276,H,✗,0.421,0.347,0.344,0.309,H
