squad_player,nation,und_player_matched,match_score,club_xg90,threshold_passed
Nicolás Hernán Otamendi,Argentina,,0.0,,False
Lionel Andrés Messi Cuccittini,Argentina,,0.0,,False
Damián Emiliano Martínez,Argentina,emiliano martinez,81.25,0.0,True
Rodrigo Javier De Paul,Argentina,rodrigo paul,100.0,0.0628,True
Nahuel Molina Lucero,Argentina,,0.0,,False
Enzo Fernandez,Argentina,alex fernandez,78.57142857142857,0.1256,True
Cristian Gabriel Romero,Argentina,cristian romero,100.0,0.02,True
Alexis Mac Allister,Argentina,alexis allister,100.0,0.2925,True
Julián Álvarez,Argentina,,0.0,,False
Marcos Javier Acuña,Argentina,marcos acuna,100.0,0.0395,True
Nicolás Alejandro Tagliafico,Argentina,,0.0,,False
Lisandro Martínez,Argentina,emiliano martinez,82.35294117647058,0.0,True
Ángel Fabián Di María Hernández,Argentina,aridane hernandez,81.25,0.0076,True
Lautaro Javier Martínez,Argentina,lautaro martinez,100.0,0.8906,True
Leandro Daniel Paredes,Argentina,leandro paredes,100.0,0.0564,True
Gonzalo Ariel Montiel,Argentina,gonzalo montiel,100.0,0.0219,True
Alejandro Darío Gómez,Argentina,alejandro gomez,100.0,0.1326,True
Exequiel Alejandro Palacios,Argentina,exequiel palacios,100.0,0.021,True
Germán Alejandro Pezzella,Argentina,german pezzella,100.0,0.0717,True
Guido Rodríguez,Argentina,guido rodriguez,100.0,0.046,True
Paulo Bruno Exequiel Dybala,Argentina,paulo dybala,100.0,0.3313,True
Thiago Ezequiel Almada,Argentina,thiago galhardo,78.57142857142857,0.3305,True
Ángel Martín Correa,Argentina,angel correa,100.0,0.3534,True
Juan Marcos Foyth,Argentina,juan foyth,100.0,0.0464,True
Aziz Eraltay Behich,Australia,,0.0,,False
Harry Souttar,Australia,,0.0,,False
Aaron Mooy,Australia,,0.0,,False
Kye Rowles,Australia,,0.0,,False
Mathew Ryan,Australia,mat ryan,84.21052631578947,0.0,True
Jackson Irvine,Australia,,0.0,,False
Mathew Leckie,Australia,,0.0,,False
Mitchell Thomas Duke,Australia,mitchell dijks,81.4814814814815,0.0826,True
Riley McGree,Australia,,0.0,,False
Craig Goodwin,Australia,,0.0,,False
Miloš Degenek,Australia,,0.0,,False
Keanu Baccus,Australia,,0.0,,False
Fran Karačić,Australia,fran garcia,78.26086956521739,0.0278,True
Nathaniel Atkinson,Australia,,0.0,,False
Ajdin Hrustic,Australia,ajdin hrustic,100.0,0.0949,True
Jamie MacLaren,Australia,,0.0,,False
Garang Kuol,Australia,,0.0,,False
Jason Cummings,Australia,,0.0,,False
