stage,date,home_team,away_team,score,winner
Group A,2026-06-11,Mexico,South Africa,1-0,Mexico
Group A,2026-06-11,South Korea,Czechia,0-0,Draw
Group B,2026-06-12,Canada,Bosnia and Herzegovina,1-0,Canada
Group D,2026-06-12,USA,Paraguay,1-0,USA
Group B,2026-06-13,Qatar,Switzerland,0-1,Switzerland
Group C,2026-06-13,Brazil,Morocco,1-0,Brazil
Group C,2026-06-13,Haiti,Scotland,0-1,Scotland
Group D,2026-06-14,Australia,Türkiye,0-0,Draw
Group E,2026-06-14,Germany,Curaçao,2-0,Germany
Group E,2026-06-14,Ivory Coast,Ecuador,0-0,Draw
Group F,2026-06-14,Netherlands,Japan,1-0,Netherlands
Group F,2026-06-14,Sweden,Tunisia,0-0,Draw
Group G,2026-06-15,Belgium,Egypt,1-0,Belgium
Group G,2026-06-15,Iran,New Zealand,1-0,Iran
Group H,2026-06-15,Spain,Cape Verde,1-0,Spain
Group H,2026-06-15,Saudi Arabia,Uruguay,0-1,Uruguay
Group I,2026-06-16,France,Senegal,2-1,France
Group I,2026-06-16,Iraq,Norway,0-1,Norway
Group J,2026-06-16,Argentina,Algeria,2-1,Argentina
Group J,2026-06-17,Austria,Jordan,1-0,Austria
Group K,2026-06-17,Portugal,DR Congo,2-1,Portugal
Group K,2026-06-17,Uzbekistan,Colombia,0-1,Colombia
Group L,2026-06-17,England,Croatia,2-1,England
Group L,2026-06-17,Ghana,Panama,0-1,Panama
Group A,2026-06-18,Czechia,South Africa,1-0,Czechia
Group A,2026-06-18,Mexico,South Korea,1-0,Mexico
Group B,2026-06-18,Switzerland,Bosnia and Herzegovina,2-1,Switzerland
Group B,2026-06-18,Canada,Qatar,1-0,Canada
Group C,2026-06-19,Scotland,Morocco,0-1,Morocco
Group C,2026-06-19,Brazil,Haiti,1-0,Brazil
Group D,2026-06-19,USA,Australia,1-0,USA
Group D,2026-06-19,Türkiye,Paraguay,1-0,Türkiye
Group E,2026-06-20,Germany,Ivory Coast,2-1,Germany
Group E,2026-06-20,Ecuador,Curaçao,1-0,Ecuador
Group F,2026-06-20,Netherlands,Sweden,2-1,Netherlands
Group F,2026-06-21,Tunisia,Japan,0-1,Japan
Group G,2026-06-21,Belgium,Iran,1-0,Belgium
Group G,2026-06-21,New Zealand,Egypt,0-1,Egypt
Group H,2026-06-21,Spain,Saudi Arabia,1-0,Spain
Group H,2026-06-21,Uruguay,Cape Verde,1-0,Uruguay
Group I,2026-06-22,France,Iraq,1-0,France
Group I,2026-06-22,Norway,Senegal,1-2,Senegal
Group J,2026-06-22,Argentina,Austria,2-1,Argentina
Group J,2026-06-22,Jordan,Algeria,0-1,Algeria
Group K,2026-06-23,Portugal,Uzbekistan,2-0,Portugal
Group K,2026-06-23,Colombia,DR Congo,1-0,Colombia
